mode,seed,learning_rate,batch_size,train_samples,val_samples,hidden_layers,epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_ms
serial,42,0.48,1024,50000,10000,512-512-256-256-128-64-32,1,2.24893,0.187724,2.28892,0.1059,37584
serial,42,0.48,1024,50000,10000,512-512-256-256-128-64-32,2,1.76464,0.353963,1.29254,0.554,37486
