mode,seed,learning_rate,batch_size,train_samples,val_samples,hidden_layers,epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_ms
mpi-mp-pip,42,0.24,512,50000,10000,512-512-256-256-128-64-32,1,1.50823,0.469092,0.883041,0.681538,103668
mpi-mp-pip,42,0.24,512,50000,10000,512-512-256-256-128-64-32,2,0.335086,0.896182,0.186209,0.945312,103763
