mode,seed,learning_rate,batch_size,train_samples,val_samples,hidden_layers,epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_ms
mpi-mp,42,0.96,2048,50000,10000,512-512-256-256-128-64-32,1,3.3444,0.155151,16.6148,0.0980225,73718
mpi-mp,42,0.96,2048,50000,10000,512-512-256-256-128-64-32,2,nan,0.0991821,nan,0.0983887,72833
