mode,seed,learning_rate,batch_size,train_samples,val_samples,hidden_layers,epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_ms
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128-64,1,1.86302,0.452616,1.28543,0.7085,1186
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128-64,2,0.919836,0.790405,0.635175,0.8466,1211
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128-64,3,0.567121,0.85437,0.46744,0.8753,1207
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128-64,4,0.45352,0.876668,0.396354,0.893,1206
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128-64,5,0.396436,0.889791,0.35549,0.9014,1206
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128-64,6,0.360358,0.898844,0.330864,0.9079,1207
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128-64,7,0.335624,0.90564,0.310506,0.9128,1208
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128-64,8,0.316511,0.91038,0.294314,0.9164,1243
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128-64,9,0.300691,0.91453,0.281515,0.9203,1219
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128-64,10,0.286851,0.918518,0.272017,0.9226,1224
