mode,seed,learning_rate,batch_size,train_samples,val_samples,hidden_layers,epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_ms
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,1,1.93511,0.382609,1.43626,0.654247,157
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,2,1.14583,0.673421,0.73019,0.829227,152
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,3,0.7698,0.76239,0.521528,0.866086,152
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,4,0.629793,0.804586,0.435179,0.882812,153
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,5,0.552177,0.830078,0.386579,0.89393,156
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,6,0.497098,0.846761,0.354809,0.901142,150
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,7,0.46022,0.859904,0.330117,0.90655,149
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,8,0.431855,0.868551,0.313087,0.911959,148
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,9,0.40571,0.877706,0.298082,0.914964,151
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,10,0.386935,0.882263,0.285705,0.917067,150
