mode,seed,learning_rate,batch_size,train_samples,val_samples,hidden_layers,epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_ms
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128,1,1.83087,0.502034,1.28874,0.7533,1613
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128,2,0.980643,0.797852,0.726823,0.8352,1607
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128,3,0.644228,0.84729,0.541738,0.8661,1601
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128,4,0.517547,0.868876,0.457575,0.8827,1602
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128,5,0.451898,0.881917,0.40926,0.8928,1601
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128,6,0.411655,0.890523,0.378011,0.9005,1597
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128,7,0.383869,0.897095,0.355467,0.9049,1599
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128,8,0.361726,0.901286,0.338201,0.9085,1601
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128,9,0.344988,0.904928,0.325122,0.911,1602
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128,10,0.331494,0.908549,0.313099,0.9131,1602
