mode,seed,learning_rate,batch_size,train_samples,val_samples,hidden_layers,epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_ms
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128-64,1,1.86302,0.452616,1.28557,0.708434,548
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128-64,2,0.919836,0.790405,0.635351,0.846454,543
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128-64,3,0.567122,0.85437,0.46766,0.8752,554
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128-64,4,0.453525,0.876689,0.396558,0.892829,547
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128-64,5,0.396436,0.88973,0.355719,0.901442,553
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128-64,6,0.360358,0.898804,0.3311,0.907953,557
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128-64,7,0.335622,0.90564,0.310702,0.912861,550
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128-64,8,0.31651,0.91036,0.294549,0.916366,557
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128-64,9,0.300698,0.91451,0.281755,0.920172,546
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128-64,10,0.286851,0.918457,0.272241,0.922476,544
