mode,seed,learning_rate,batch_size,train_samples,val_samples,hidden_layers,epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_ms
mpi,42,0.03,1024,50000,10000,256-128-64,1,1.86302,0.452616,1.28557,0.708434,416
mpi,42,0.03,1024,50000,10000,256-128-64,2,0.919836,0.790405,0.635351,0.846454,408
mpi,42,0.03,1024,50000,10000,256-128-64,3,0.567122,0.85437,0.46766,0.8752,405
mpi,42,0.03,1024,50000,10000,256-128-64,4,0.453525,0.876689,0.396558,0.892829,407
mpi,42,0.03,1024,50000,10000,256-128-64,5,0.396435,0.88975,0.355722,0.901442,410
mpi,42,0.03,1024,50000,10000,256-128-64,6,0.36036,0.898865,0.331089,0.907953,405
mpi,42,0.03,1024,50000,10000,256-128-64,7,0.335628,0.90568,0.310704,0.912861,411
mpi,42,0.03,1024,50000,10000,256-128-64,8,0.316513,0.910319,0.294548,0.916366,407
mpi,42,0.03,1024,50000,10000,256-128-64,9,0.300696,0.914551,0.281754,0.920172,406
mpi,42,0.03,1024,50000,10000,256-128-64,10,0.286857,0.918457,0.272246,0.922476,409
