mode,seed,learning_rate,batch_size,train_samples,val_samples,hidden_layers,epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_ms
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128-64,1,1.86302,0.452616,1.28557,0.708434,797
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128-64,2,0.919836,0.790405,0.635351,0.846454,793
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128-64,3,0.567122,0.85437,0.46766,0.8752,795
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128-64,4,0.453525,0.876689,0.396558,0.892829,796
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128-64,5,0.396435,0.88973,0.355719,0.901442,791
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128-64,6,0.360362,0.898824,0.331102,0.908053,791
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128-64,7,0.335625,0.90564,0.310707,0.912861,795
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128-64,8,0.316512,0.91036,0.294554,0.916466,792
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128-64,9,0.300698,0.91451,0.281753,0.920072,793
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128-64,10,0.286854,0.918477,0.272247,0.922476,796
