mode,seed,learning_rate,batch_size,train_samples,val_samples,hidden_layers,epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_ms
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,1,1.91916,0.40273,1.36153,0.684295,164
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,2,1.07941,0.698751,0.695729,0.835337,164
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,3,0.722961,0.781901,0.505777,0.870393,165
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,4,0.590358,0.820679,0.424665,0.886919,167
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,5,0.517908,0.842814,0.378445,0.896434,166
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,6,0.466011,0.858785,0.348154,0.903245,160
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,7,0.430582,0.870117,0.323963,0.908854,161
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,8,0.402961,0.877848,0.307325,0.913361,166
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,9,0.378274,0.886393,0.292649,0.916166,166
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,10,0.363126,0.891073,0.281123,0.91897,160
