mode,seed,learning_rate,batch_size,train_samples,val_samples,hidden_layers,epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_ms
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128,1,1.83087,0.502034,1.28874,0.7533,4806
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128,2,0.980643,0.797852,0.726822,0.8352,4761
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128,3,0.644228,0.84731,0.541739,0.8661,4744
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128,4,0.517548,0.868876,0.457576,0.8827,4752
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128,5,0.4519,0.881897,0.409262,0.8928,4745
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128,6,0.411655,0.890483,0.378012,0.9005,4754
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128,7,0.383867,0.897074,0.355466,0.9049,4744
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128,8,0.361724,0.901265,0.338198,0.9085,4750
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128,9,0.344986,0.904887,0.325116,0.911,4744
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128,10,0.331493,0.908508,0.313093,0.9131,4761
