mode,seed,learning_rate,batch_size,train_samples,val_samples,hidden_layers,epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_ms
mpi,42,0.03,1024,50000,10000,256-128-64,1,1.86302,0.452616,1.28543,0.7085,4140
mpi,42,0.03,1024,50000,10000,256-128-64,2,0.919836,0.790405,0.635175,0.8466,4140
mpi,42,0.03,1024,50000,10000,256-128-64,3,0.567121,0.85437,0.46744,0.8753,4141
mpi,42,0.03,1024,50000,10000,256-128-64,4,0.45352,0.876668,0.396354,0.893,4140
mpi,42,0.03,1024,50000,10000,256-128-64,5,0.396435,0.889791,0.355489,0.9014,4141
mpi,42,0.03,1024,50000,10000,256-128-64,6,0.360357,0.898844,0.330869,0.9079,4149
mpi,42,0.03,1024,50000,10000,256-128-64,7,0.33562,0.90564,0.310488,0.9129,4146
mpi,42,0.03,1024,50000,10000,256-128-64,8,0.316509,0.910339,0.294327,0.9165,4143
mpi,42,0.03,1024,50000,10000,256-128-64,9,0.300693,0.91453,0.281514,0.9203,4143
mpi,42,0.03,1024,50000,10000,256-128-64,10,0.286847,0.918498,0.272016,0.9226,4141
