mode,seed,learning_rate,batch_size,train_samples,val_samples,hidden_layers,epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_ms
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,1,1.87121,0.443949,1.30582,0.6978,1031
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,2,0.950487,0.773865,0.645104,0.8431,1030
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,3,0.595701,0.841573,0.473127,0.8764,1029
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,4,0.481394,0.864665,0.399447,0.8933,1030
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,5,0.423039,0.879415,0.357768,0.9001,1030
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,6,0.38355,0.889465,0.331373,0.9067,1035
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,7,0.357654,0.897156,0.310788,0.9125,1035
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,8,0.339224,0.90092,0.295341,0.9166,1030
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,9,0.321553,0.906433,0.281733,0.9201,1032
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,10,0.30706,0.910258,0.27175,0.9216,1033
