mode,seed,learning_rate,batch_size,train_samples,val_samples,hidden_layers,epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_ms
mpi,42,0.03,1024,50000,10000,256-128,1,1.83087,0.502034,1.28874,0.7533,1491
mpi,42,0.03,1024,50000,10000,256-128,2,0.980642,0.797852,0.726821,0.8353,1487
mpi,42,0.03,1024,50000,10000,256-128,3,0.644226,0.84729,0.541738,0.8661,1485
mpi,42,0.03,1024,50000,10000,256-128,4,0.517546,0.868876,0.457574,0.8827,1484
mpi,42,0.03,1024,50000,10000,256-128,5,0.451898,0.881897,0.409263,0.8928,1484
mpi,42,0.03,1024,50000,10000,256-128,6,0.411655,0.890523,0.378013,0.9006,1484
mpi,42,0.03,1024,50000,10000,256-128,7,0.383867,0.897074,0.35547,0.9049,1484
mpi,42,0.03,1024,50000,10000,256-128,8,0.361725,0.901306,0.338201,0.9085,1483
mpi,42,0.03,1024,50000,10000,256-128,9,0.344985,0.904907,0.325118,0.911,1482
mpi,42,0.03,1024,50000,10000,256-128,10,0.331493,0.908529,0.313092,0.9131,1483
