mode,seed,learning_rate,batch_size,train_samples,val_samples,hidden_layers,epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_ms
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,1,1.87036,0.446045,1.29505,0.7056,1277
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,2,0.942536,0.776265,0.642738,0.8441,1274
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,3,0.590327,0.843486,0.471895,0.8771,1274
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,4,0.476526,0.867452,0.398894,0.8938,1272
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,5,0.418546,0.881226,0.357167,0.9012,1273
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,6,0.379642,0.891134,0.330801,0.9069,1272
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,7,0.353436,0.89919,0.310439,0.9127,1272
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,8,0.335375,0.902018,0.295058,0.9167,1272
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,9,0.317874,0.907898,0.281419,0.9205,1273
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,10,0.303219,0.912231,0.271522,0.9216,1272
