mode,seed,learning_rate,batch_size,train_samples,val_samples,hidden_layers,epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_ms
mpi,42,0.03,1024,50000,10000,256-128-64,1,1.86302,0.452616,1.28557,0.708434,297
mpi,42,0.03,1024,50000,10000,256-128-64,2,0.919836,0.790405,0.635351,0.846454,315
mpi,42,0.03,1024,50000,10000,256-128-64,3,0.567121,0.85437,0.467658,0.8752,283
mpi,42,0.03,1024,50000,10000,256-128-64,4,0.453522,0.876689,0.396555,0.893029,286
mpi,42,0.03,1024,50000,10000,256-128-64,5,0.396434,0.889811,0.355719,0.901342,290
mpi,42,0.03,1024,50000,10000,256-128-64,6,0.360362,0.898865,0.33111,0.908053,288
mpi,42,0.03,1024,50000,10000,256-128-64,7,0.335628,0.905599,0.310714,0.912861,284
mpi,42,0.03,1024,50000,10000,256-128-64,8,0.316512,0.91038,0.29455,0.916366,283
mpi,42,0.03,1024,50000,10000,256-128-64,9,0.300695,0.91453,0.281735,0.920072,297
mpi,42,0.03,1024,50000,10000,256-128-64,10,0.286856,0.918457,0.272235,0.922476,298
