mode,seed,learning_rate,batch_size,train_samples,val_samples,hidden_layers,epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_ms
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,1,1.86585,0.449992,1.29123,0.7063,4101
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,2,0.927215,0.785482,0.638095,0.8466,4091
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,3,0.573344,0.851339,0.468954,0.8754,4088
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,4,0.45968,0.874023,0.396873,0.8935,4087
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,5,0.402613,0.887146,0.355704,0.9016,4087
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,6,0.365183,0.897196,0.33091,0.9073,4087
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,7,0.340474,0.903646,0.309904,0.9131,4089
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,8,0.321598,0.908183,0.294748,0.916,4092
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,9,0.304991,0.913635,0.281031,0.9208,4087
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,10,0.291081,0.917013,0.271769,0.9225,4081
