mode,seed,learning_rate,batch_size,train_samples,val_samples,hidden_layers,epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_ms
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,1,1.86497,0.450704,1.28804,0.7082,4130
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,2,0.924643,0.787272,0.637027,0.847,4120
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,3,0.572059,0.852275,0.468605,0.8757,4128
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,4,0.458344,0.874695,0.39674,0.893,4131
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,5,0.401639,0.886943,0.355743,0.9016,4127
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,6,0.364599,0.897054,0.330743,0.9075,4125
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,7,0.339458,0.904134,0.310044,0.9129,4133
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,8,0.320757,0.907776,0.294603,0.9161,4127
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,9,0.304029,0.91392,0.281009,0.9208,4134
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,10,0.290269,0.917053,0.271782,0.9225,4129
