mode,seed,learning_rate,batch_size,train_samples,val_samples,hidden_layers,epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_ms
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,1,1.87948,0.435404,1.32564,0.688201,539
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,2,0.980938,0.753601,0.654853,0.841947,536
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,3,0.623899,0.825623,0.478143,0.873498,539
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,4,0.508048,0.85321,0.403173,0.892428,537
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,5,0.445474,0.870544,0.360922,0.89974,537
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,6,0.404261,0.881978,0.333799,0.905549,536
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,7,0.377049,0.889608,0.312681,0.910657,536
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,8,0.355814,0.89502,0.297339,0.915465,537
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,9,0.337421,0.901347,0.283949,0.919371,540
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,10,0.322993,0.90507,0.273352,0.920272,541
