mode,seed,learning_rate,batch_size,train_samples,val_samples,hidden_layers,epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_ms
mpi,42,0.03,1024,50000,10000,256-128,1,1.83087,0.502034,1.28874,0.7533,4784
mpi,42,0.03,1024,50000,10000,256-128,2,0.980643,0.797852,0.726822,0.8353,4768
mpi,42,0.03,1024,50000,10000,256-128,3,0.644228,0.84727,0.541738,0.8662,4773
mpi,42,0.03,1024,50000,10000,256-128,4,0.517547,0.868876,0.457575,0.8827,4765
mpi,42,0.03,1024,50000,10000,256-128,5,0.451898,0.881917,0.409266,0.8928,4764
mpi,42,0.03,1024,50000,10000,256-128,6,0.411656,0.890544,0.378015,0.9005,4769
mpi,42,0.03,1024,50000,10000,256-128,7,0.383868,0.897074,0.355466,0.9049,4764
mpi,42,0.03,1024,50000,10000,256-128,8,0.361725,0.901265,0.3382,0.9085,4768
mpi,42,0.03,1024,50000,10000,256-128,9,0.344987,0.904928,0.325116,0.911,4769
mpi,42,0.03,1024,50000,10000,256-128,10,0.331495,0.908508,0.313096,0.9131,4764
