mode,seed,learning_rate,batch_size,train_samples,val_samples,hidden_layers,epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_ms
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,1,1.8967,0.412923,1.36655,0.673778,283
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,2,1.04033,0.722799,0.677244,0.838842,285
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,3,0.676071,0.80127,0.490025,0.873598,280
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,4,0.553007,0.83665,0.412178,0.890024,282
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,5,0.484299,0.855428,0.368577,0.899239,280
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,6,0.439,0.867961,0.340331,0.903546,282
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,7,0.408466,0.877441,0.318223,0.909455,281
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,8,0.385565,0.884908,0.302153,0.914463,280
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,9,0.364523,0.891581,0.288883,0.918169,282
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,10,0.347611,0.896525,0.277538,0.920373,281
