mode,seed,learning_rate,batch_size,train_samples,val_samples,hidden_layers,epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_ms
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,1,1.89316,0.424967,1.32519,0.695212,292
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,2,1.00595,0.735921,0.663061,0.841046,295
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,3,0.653282,0.811279,0.484284,0.873397,288
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,4,0.534805,0.843119,0.408835,0.891526,288
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,5,0.467808,0.861837,0.366033,0.89984,288
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,6,0.423592,0.874715,0.33818,0.904547,291
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,7,0.393978,0.883199,0.316482,0.909856,287
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,8,0.371578,0.889587,0.300777,0.915064,286
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,9,0.35095,0.895874,0.287103,0.919271,288
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,10,0.334771,0.901428,0.276135,0.920773,292
