mode,seed,learning_rate,batch_size,train_samples,val_samples,hidden_layers,epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_ms
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128-64,1,1.86302,0.452616,1.28543,0.7085,4145
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128-64,2,0.919836,0.790405,0.635175,0.8466,4158
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128-64,3,0.567122,0.85437,0.467443,0.8753,4144
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128-64,4,0.453525,0.876689,0.39635,0.8929,4146
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128-64,5,0.396435,0.88973,0.3555,0.9015,4146
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128-64,6,0.360362,0.898824,0.330885,0.9081,4142
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128-64,7,0.335625,0.90564,0.310504,0.9129,4144
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128-64,8,0.316512,0.91036,0.294335,0.9165,4146
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128-64,9,0.300698,0.91451,0.281533,0.9202,4152
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128-64,10,0.286854,0.918477,0.27203,0.9226,4145
